ตัวหนังโดยรวม เมื่อมาในโทนระทึกขวัญลึกลับแล้ว ผกก ทำได้มือถึงจริงๆ ตลอดทั้งเรื่องจะพาผู้ชมพบกับประสบการณ์ลุ้นละทึก ลุ้นว่าเหตุการณ์จะเกิดอะไรขึ้นต่อไป ไม่สามารถคาดเดาอะไรได้เลย,Hacksaw Ridge
ถึงแม้ว่าตัวหนังเองจะกลับมาเป็นแนวที่ทาง ผกก นั้นถนัด แต่กระนั้น Split ยังเป็นผลงานที่เรียกได้ว่า กลางๆ ไม่ได้มีการหักมุมจนต้องร้องว้าวแต่อย่างใด,Split
เนื้อเรื่องโดยรวมยังคงไปในโทนลุ้นระทึก สลับกับราบเรียบ เรื่อยๆ อาจมีเบื่อในบางช่วงบ้าง แต่ก็ยังดีกว่าผลงานอื่นๆ ช่วงหลังๆ ของ ผกก,Split
เอาเป็นว่าตัวเรื่องเองถึงแม้ว่าจะไม่เพอร์เฟค แต่ก็ไม่ได้ดูแย่จนน่าเบื่อหน่าย,Split
เสน่ห์อย่างหนึ่งที่ทำให้ John Wick ภาคแรกเรียกได้ว่าเป็นหนังแอ็คชั่นสุดเดือดแสนมันส์ ขึ้นหิ้งหนึ่งในหนังแอ็คชั่นที่มันส์ที่สุดในช่วงขวบปีหลังมานี้ คือความโดดเด่นเป็นเอกลักษณ์ของตัวละคร,John wick 2
การกลับมาอีกครั้งใน John Wick 2 ราวกับว่าตัวหนังได้เพิ่มดีกรีความบ้าระห่ำขึ้นไปจนสุดอีกขั้น,John wick 2
กับเปอร์เซ็นต์ฉากแอ็คชั่นที่เพิ่มขึ้น กระสุนปืนที่มากขึ้น และการฆ่าที่มากขึ้น ทั้งหมดเกิดขึ้นภายใต้องค์ประกอบเดิมที่เรียบง่าย,John wick 2
โลกในหนังที่มีการสมมติองค์กรอาชญากรได้รับการขยายให้เราเห็นดีเทลที่น่าสนใจ และหนังก็หยิบใช้ทุกอย่างที่เซ็ตขึ้นในโลกที่สร้างขึ้นได้อย่างเพลิดเพลินลงตัว,John wick 2
นอกเหนือจากความเป็นเอกลักษณ์ของรสแอ็คชั่นแล้ว สิ่งที่ทำให้หนังเรื่องนี้น่าสนใจมากๆ คือปูมหลังตัวละคร John Wick ผู้เป็นนักฆ่ามือพระกาฬที่อยากจะวางมือใช้ชีวิตอย่างสงบสันติอยู่บ้านชานเมืองเงียบๆ กับสุนัขคู่ใจ แต่มิวายต้องถูกชักนำให้เข้ามายุ่งเกี่ยวกับโลกเดิมของเขาทุกทีไป,John wick 2
John Wick และ John Wick 2 อาจไม่ได้เป็นหนังที่มีหน้าหนังระดับ Top ที่มีโปรดักชั่นดีไซน์อลังการ หรือมีนักแสดงระดับแม่เหล็กมากมายเท่าใดนัก,John wick 2
แค่คุณภาพที่อัดแน่นไปด้วยความมันส์ระห่ำแบบดิบๆ บนเส้นเรื่องที่ไม่ซับซ้อนยุ่งเหยิงมากเกินความจำเป็น จนไม่นำพาเหมือนหนังฟอร์มยักษ์หลายๆ เรื่อง นับเป็นหนังที่คอแอ็คชั่นไม่ควรพลาดด้วยประการทั้งปวง,John wick 2
ระห่ำ + มันส์ + ไม่หยุดยั้ง ที่เพิ่มเติมด้วยความสวยงามด้านภาพยนตร์ คือคำที่สามารถนิยามหนังเรื่องนี้ได้,John wick 2
John Wick Chapter 2 นี้ยอดเยี่ยม ไม่แพ้ หรือจะต้องบอกว่ายิ่งกว่าภาคแรกซะด้วยซ้ำ โดยในภาคนี้ จอห์น วิค จะต้องไปรับภารกิจที่ตนไม่เต็มใจทำมากเท่าไหร่,John wick 2
แต่ก็ต้องทำเนื่องจากต้องชำระหนี้ที่ตนติดไว้ก่อนจะรีไทร์วงการนักฆ่า และการรับภารกิจนี้เอง ก็นำไปสู่การต่อสู้แบบ non-stop ที่เดือดยิ่งกว่าภาคแรก,John wick 2
